alpha,beta,lambda,j_parent_statement,u_overlap_max,u_overlap_p95,u_overlap_p50,xi_overlap_max,xi_overlap_p95
1.005,0.995,-0.0050000000000000044,4.927396412011121e-08,3.331649063423028e-06,3.3316483667538334e-06,3.201577523150923e-06,0.13326596253692088,0.1332659346701531
1.005,0.995,0.0050000000000000044,4.927396412011121e-08,3.331649063423028e-06,3.3316483667538334e-06,3.201577523150923e-06,0.13326596253692088,0.1332659346701531
1.005,0.995,0.009999999999999981,4.995799663112284e-08,1.3326596253692039e-05,1.332659346701526e-05,1.280631009260362e-05,0.13326596253692088,0.1332659346701531
1.005,0.995,-0.010000000000000009,4.995799663112284e-08,1.3326596253692112e-05,1.3326593467015334e-05,1.2806310092603692e-05,0.13326596253692088,0.1332659346701531
1.005,0.995,0.014999999999999986,5.112803762452512e-08,2.998484157080714e-05,2.9984835300784388e-05,2.8814197708358195e-05,0.13326596253692088,0.1332659346701531
1.005,0.995,-0.015000000000000013,5.112803762452512e-08,2.9984841570807253e-05,2.99848353007845e-05,2.8814197708358303e-05,0.13326596253692088,0.1332659346701531
1.01,1.0,0.18,5.1795834605468874e-08,0.004351903734301152,0.004351902825446281,0.00418224238096293,0.1343180164907763,0.13431798843970005
1.01,1.0,-0.18000000000000002,5.1795834605468874e-08,0.004351903734301153,0.004351902825446282,0.0041822423809629306,0.1343180164907763,0.13431798843970005
1.005,0.995,0.01999999999999999,5.2829071687587785e-08,5.33063850147683e-05,5.3306373868061185e-05,5.122524037041462e-05,0.13326596253692088,0.1332659346701531
1.005,0.995,-0.020000000000000018,5.2829071687587785e-08,5.330638501476845e-05,5.3306373868061334e-05,5.122524037041477e-05,0.13326596253692088,0.1332659346701531
1.01,1.0,0.175,5.3634873724955825e-08,0.004113489255030024,0.004113488395965813,0.003953122620894744,0.1343180164907763,0.13431798843970005
1.01,1.0,-0.17500000000000002,5.3634873724955825e-08,0.0041134892550300246,0.004113488395965815,0.003953122620894746,0.1343180164907763,0.13431798843970005
0.995,1.005,-0.09000000000000001,5.510314839162658e-08,0.0010789922047455749,0.0010789919793360743,0.0010371090547496278,0.13320891416612032,0.13320888633778694
0.995,1.005,0.08999999999999997,5.5103148391626723e-08,0.0010789922047455738,0.0010789919793360735,0.001037109054749627,0.13320891416612032,0.13320888633778694
1.005,0.995,-0.024999999999999994,5.512408599281829e-08,8.329122658557551e-05,8.329120916884564e-05,8.003943807877288e-05,0.13326596253692088,0.1332659346701531
1.005,0.995,0.024999999999999994,5.512408599281829e-08,8.329122658557551e-05,8.329120916884564e-05,8.003943807877288e-05,0.13326596253692088,0.1332659346701531
1.005,1.0,0.09999999999999998,5.718093356946235e-08,0.0013377991062380743,0.0013377988267400693,0.0012856820638251422,0.1337799106238075,0.13377988267400698
1.005,1.0,-0.1,5.718093356946235e-08,0.0013377991062380754,0.0013377988267400701,0.001285682063825143,0.1337799106238075,0.13377988267400698
1.0,1.01,-0.185,5.79071930808698e-08,0.004595067951595491,0.004595066992871252,0.0044169563826321,0.13426056834464548,0.1342605403322499
1.0,1.01,0.185,5.79071930808698e-08,0.004595067951595491,0.004595066992871252,0.0044169563826321,0.13426056834464548,0.1342605403322499
1.01,1.0,-0.185,5.796875369714368e-08,0.004597034114396818,0.004597033154348734,0.004417816218779515,0.1343180164907763,0.13431798843970005
1.01,1.0,0.185,5.796875369714368e-08,0.004597034114396818,0.004597033154348734,0.004417816218779515,0.1343180164907763,0.13431798843970005
1.005,0.995,-0.03,5.809407905053099e-08,0.0001199393662832288,0.00011993934120313778,0.00011525679083343301,0.13326596253692088,0.1332659346701531
1.005,0.995,0.03,5.809407905053099e-08,0.0001199393662832288,0.00011993934120313778,0.00011525679083343301,0.13326596253692088,0.1332659346701531
1.0,1.005,0.11499999999999999,5.834092878071731e-08,0.0017688607569296632,0.001768860387548518,0.0017001489855496923,0.13375128596821653,0.13375125803769514
1.0,1.005,-0.115,5.834092878071731e-08,0.0017688607569296638,0.0017688603875485184,0.0017001489855496927,0.13375128596821653,0.13375125803769514
1.005,0.995,-0.035,6.183807196534395e-08,0.0001632508041077281,0.00016325076997093758,0.00015687729863439495,0.13326596253692088,0.1332659346701531
1.005,0.995,0.035,6.183807196534395e-08,0.0001632508041077281,0.00016325076997093758,0.00015687729863439495,0.13326596253692088,0.1332659346701531
1.005,1.005,0.16999999999999998,6.200233257573534e-08,0.003881054830562889,0.0038810540204265993,0.0037301847036560276,0.13429255469075743,0.13429252665835986
1.005,1.005,-0.17,6.200233257573534e-08,0.0038810548305628907,0.0038810540204266006,0.003730184703656029,0.13429255469075743,0.13429252665835986
1.0,1.0,-0.085,6.258632231040873e-08,0.0009626641161888959,0.0009626639149855437,0.0009251885354047759,0.13324070812303054,0.1332406802748157
1.0,1.0,0.08500000000000002,6.258632231040873e-08,0.0009626641161888961,0.0009626639149855439,0.0009251885354047761,0.13324070812303054,0.1332406802748157
1.01,1.0,0.16999999999999998,6.282490440536358e-08,0.0038817906765834342,0.0038817898659073307,0.0037304569385749587,0.1343180164907763,0.13431798843970005
1.01,1.0,-0.17,6.282490440536358e-08,0.0038817906765834355,0.0038817898659073325,0.00373045693857496,0.1343180164907763,0.13431798843970005
1.005,1.0,-0.15000000000000002,6.335413087639335e-08,0.00301004798903567,0.003010047360165158,0.0028927846436065724,0.1337799106238075,0.13377988267400698
1.005,1.0,0.15000000000000002,6.335413087639335e-08,0.00301004798903567,0.003010047360165158,0.0028927846436065724,0.1337799106238075,0.13377988267400698
0.995,1.01,0.15499999999999997,6.50181769619448e-08,0.0032125300559997,0.003212529385463926,0.003088098591828728,0.13371613136315094,0.13371610345323318
0.995,1.01,-0.15500000000000003,6.50181769619448e-08,0.0032125300559997026,0.003212529385463928,0.0030880985918287306,0.13371613136315094,0.13371610345323318
0.995,1.005,0.09499999999999997,6.580992139404486e-08,0.0012022104503492353,0.0012022101991985264,0.0011555443480389365,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.09500000000000001,6.580992139404486e-08,0.0012022104503492364,0.0012022101991985277,0.0011555443480389376,0.13320891416612032,0.13320888633778694
0.995,1.01,-0.15000000000000002,6.585349074051312e-08,0.003008612955670897,0.0030086123276977473,0.0028920798466658243,0.13371613136315094,0.13371610345323318
0.995,1.01,0.15000000000000002,6.585349074051312e-08,0.003008612955670897,0.0030086123276977473,0.0028920798466658243,0.13371613136315094,0.13371610345323318
