family,peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta
pointamp3,0.25,6.1,0.03,6.711864406779661,0.96,21.79079827253346,29.2528439721278,29.2528439721278,7.462045699594338,0.29448901567111674,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,1.15,21.790818970534378,29.252892811004433,29.252892811004433,7.462073840470055,0.29448973536251605,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,1.34,21.790839668412794,29.252941649533273,29.252941649533273,7.46210198112048,0.29449045504576254,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,1.53,21.790860366309776,29.252990488269216,29.252990488269216,7.46213012195944,0.29449117473335157,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,1.72,21.790881064165323,29.253039327209965,29.253039327209965,7.462158263044643,0.2944918944279583,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,1.91,21.790901761884168,29.253088166304526,29.253088166304526,7.462186404420358,0.2944926141322111,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,2.1,21.7909224595533,29.253137002982985,29.253137002982985,7.462214543429685,0.2944933337542671,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,2.29,21.790943157200772,29.253185837562075,29.253185837562075,7.462242680361303,0.29449405330366696,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,2.4800000000000004,21.790963854697054,29.253234672272725,29.253234672272725,7.462270817575671,0.29449477286261744,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,2.6700000000000004,21.790984552193798,29.25328350719355,29.25328350719355,7.462298954999753,0.29449549242684686,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,2.8600000000000003,21.791005249619914,29.253332342305214,29.253332342305214,7.4623270926853,0.2944962119989563,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,3.0500000000000003,21.791025947001945,29.25338117760384,29.25338117760384,7.462355230601894,0.29449693157759527,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,3.24,21.791046644304153,29.25343001308495,29.25343001308495,7.462383368780799,0.2944976511642509,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,3.43,21.79106734152444,29.25347884874859,29.25347884874859,7.46241150722415,0.29449837075902036,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,3.62,21.791088038669198,29.25352768459161,29.25352768459161,7.462439645922412,0.2944990903615033,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,3.81,21.79110873580438,29.253576520634038,29.253576520634038,7.462467784829659,0.2944998099693575,1.1748521113454498e-91
pointamp3,0.25,6.1,0.03,6.711864406779661,4.0,21.791129432843228,29.253625356866003,29.253625356866003,7.462495924022775,0.29450052958622663,1.1748521113454498e-91
pointamp3,0.25,6.1,0.05,4.813559322033898,0.2,11.04256012523663,19.843547917856863,19.843547917856863,8.800987792620234,0.5861220030068203,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,0.39,11.052161669693014,19.861021470449572,19.861021470449572,8.808859800756558,0.5861330558037358,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,0.5800000000000001,11.061764893323978,19.87851191256123,19.87851191256123,8.816747019237251,0.5861447871287384,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,0.77,11.07136978607142,19.895993426829776,19.895993426829776,8.824623640758356,0.5861558984798503,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,0.96,11.080976337871572,19.913488776565693,19.913488776565693,8.83251243869412,0.5861675355034771,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,1.15,11.090584538655236,19.930961071162425,19.930961071162425,8.84037653250719,0.5861778467997579,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,1.34,11.100194378347563,19.9484395089474,19.9484395089474,8.848245130599835,0.586188300445827,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,1.53,11.109805846867841,19.965934769182383,19.965934769182383,8.856128922314541,0.5861994318445617,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,1.72,11.119418934130268,19.983446891061718,19.983446891061718,8.86402795693145,0.586211242079039,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,1.91,11.129033630043503,20.00097591391144,20.00097591391144,8.871942283867936,0.5862237322336145,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,2.1,11.138649924510688,20.018464557650546,20.018464557650546,8.879814633139858,0.586234040064578,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,2.29,11.148267807429823,20.035918319219885,20.035918319219885,8.887650511790062,0.5862424465423461,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,2.4800000000000004,11.157887268693388,20.053388739769705,20.053388739769705,8.895501471076317,0.5862515277334663,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,2.6700000000000004,11.167508298188464,20.070875858040207,20.070875858040207,8.903367559851743,0.5862612847077251,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,2.8600000000000003,11.177130885797396,20.088379712901865,20.088379712901865,8.911248827104469,0.586271718536125,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,3.0500000000000003,11.18675502139664,20.10590034335506,20.10590034335506,8.91914532195842,0.5862828302909571,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,3.24,11.19638069485797,20.123437788531454,20.123437788531454,8.927057093673485,0.5862946210457459,4.4934489079541365e-145
pointamp3,0.25,6.1,0.05,4.813559322033898,3.43,11.206007896047758,20.14099208769381,20.14099208769381,8.934984191646052,0.58630709187529,4.4934489079541365e-145
