D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.813559322033898,fine,0.06,0.03,10,3.5021841906834412,0.7288487443206848,3.5021841906834412,130.79201961954257,85.7658414605747,9.770013288581053,3
4.813559322033898,fine,0.06,0.03,11,3.506251223866308,0.7288487443206848,3.506251223866308,130.94575347385498,85.89042668456317,9.78420541068001,3
4.813559322033898,fine,0.06,0.03,12,3.673567162845262,0.7288487443206848,3.673567162845262,137.2702959672594,91.01580747130964,10.368063011127733,3
4.813559322033898,fine,0.06,0.03,13,3.92659903438763,0.7288487443206848,3.92659903438763,146.83490071156095,98.76692013129895,11.251030780110627,3
4.813559322033898,fine,0.06,0.03,14,4.164097044881112,0.7288487443206848,4.164097044881112,155.81232550821454,106.04218480304623,12.079792339613187,3
4.813559322033898,fine,0.06,0.03,15,4.235537789858094,0.7288487443206848,4.235537789858094,158.5127856683445,108.2306255692421,12.329088504646847,3
4.813559322033898,fine,0.06,0.03,16,4.618443698363192,0.7288487443206848,4.618443698363192,172.98662900983717,119.96016310499714,13.665258425464518,3
4.813559322033898,fine,0.06,0.03,17,4.8952653276962526,0.7288487443206848,4.8952653276962526,183.45048659862687,128.4400262250194,14.631241781507846,3
4.813559322033898,fine,0.06,0.03,18,5.0731964876379445,0.7288487443206848,5.0731964876379445,190.17628444442283,133.89058254436316,15.252141743115837,3
4.813559322033898,fine,0.06,0.03,19,5.5944310173937435,0.7288487443206848,5.5944310173937435,209.878949669192,149.85753381333492,17.071016523790494,3
4.813559322033898,fine,0.06,0.03,20,5.6960561752654115,0.7288487443206848,5.6960561752654115,213.72038063674103,152.97061218939476,17.42564275475309,3
4.813559322033898,fine,0.06,0.03,21,6.186827347241307,0.7288487443206848,6.186827347241307,232.2715309374299,168.00438094379132,19.13821407693183,3
4.813559322033898,fine,0.06,0.03,22,6.566300225172874,0.7288487443206848,6.566300225172874,246.6156057232431,179.62875462576608,20.46240426046232,3
4.813559322033898,fine,0.06,0.03,23,6.848318712983518,0.7288487443206848,6.848318712983518,257.27590456248555,188.26781285149679,21.44652232225518,3
4.813559322033898,fine,0.06,0.03,24,7.506668624955315,0.7288487443206848,7.506668624955315,282.1615312350194,208.43501276304215,23.743868302587483,3
4.813559322033898,fine,0.06,0.03,25,7.580275856876102,0.7288487443206848,7.580275856876102,284.9438846016252,210.68981941538297,24.000724535574804,3
4.813559322033898,fine,0.06,0.03,26,8.232413962258953,0.7288487443206848,8.232413962258953,309.59470498509694,230.66673336650965,26.276394096364534,3
4.813559322033898,fine,0.06,0.03,27,8.326063481492934,0.7288487443206848,8.326063481492934,313.1346568121414,233.53549440325858,26.6031889248591,3
4.813559322033898,fine,0.06,0.03,28,8.38055293408242,0.7288487443206848,8.38055293408242,315.19435812002394,235.2046670779409,26.79333268063487,3
4.813559322033898,fine,0.06,0.03,29,8.494193617454085,0.7288487443206848,8.494193617454085,319.4899759514729,238.68581644542073,27.189887707678444,3
4.813559322033898,fine,0.06,0.03,30,8.515486680939857,0.7288487443206848,8.515486680939857,320.29485375123505,239.33808579373832,27.2641909511641,3
4.813559322033898,fine,0.06,0.03,31,8.745768186317179,0.7288487443206848,8.745768186317179,328.9994946544979,246.39228762535495,28.067770143783676,3
4.813559322033898,fine,0.06,0.03,32,9.055639536045714,0.7288487443206848,9.055639536045714,340.71263167423643,255.88456117654127,29.149082204093464,3
4.813559322033898,fine,0.06,0.03,33,9.250624189435252,0.7288487443206848,9.250624189435252,348.08305157236117,261.85751630736655,29.829491210831733,3
4.813559322033898,fine,0.06,0.03,34,9.438793901290428,0.7288487443206848,9.438793901290428,355.1958666804867,267.621709675169,30.48611912752125,3
4.813559322033898,fine,0.06,0.03,35,9.594415410977788,0.7288487443206848,9.594415410977788,361.0783597466688,272.3888555945808,31.029168413671705,3
4.813559322033898,fine,0.06,0.03,36,9.89235661178203,0.7288487443206848,9.89235661178203,372.3405371370693,281.51567349071877,32.06884960386579,3
4.813559322033898,fine,0.06,0.03,37,10.191849086845234,0.7288487443206848,10.191849086845234,383.6613526944584,290.69001149361037,33.113944045612605,3
4.813559322033898,fine,0.06,0.03,38,10.414879052219533,0.7288487443206848,10.414879052219533,392.0918853856068,297.52207726315993,33.89221861530411,3
4.813559322033898,fine,0.06,0.03,39,10.74311027969022,0.7288487443206848,10.74311027969022,404.4990257839988,307.5767680305476,35.03759841613202,3
4.813559322033898,fine,0.06,0.03,40,11.006833679350162,0.7288487443206848,11.006833679350162,414.46777029114463,315.65539373639,35.95787482402845,3
5.084745762711864,fine,0.06,0.03,1,0.7266252665739621,0.7266252665739621,0.7266252665739621,26.308777766077057,1.0,0.11472042290684765,4
5.084745762711864,fine,0.06,0.03,2,0.8173858442006567,0.7266252665739621,0.8173858442006567,29.79466465127433,4.485282290756729,0.5145534812522063,4
5.084745762711864,fine,0.06,0.03,3,0.9781758460540542,0.7266252665739621,0.9781758460540542,35.97020664745868,8.716843737683869,1.0,4
5.084745762711864,fine,0.06,0.03,4,1.2236671015136555,0.7266252665739621,1.2236671015136555,45.398912041523324,16.425805874292674,1.8843753964846381,4
