mode,D,eta,B1,B2,B3,W1,W2,W3,log_B_sum_ratio,log_B2_ratio,share_l1,w_share_l1,argmax_B_mismatch,argmax_W_mismatch,delta_mu2,acceptance_mismatch
release_sumanchor,5.6,0.2,0.5839126985391716,1.2481640836365078,0.2771972159518638,0.0015501206234389989,0.00893748542041327,0.000671232033876831,-1.6336590926600805,-1.7794275883788866,0.18572484834138114,0.1128242174747617,0.0,0.0,-49.19596502720422,0.0
release_eftsumanchor,5.6,0.2,2.0891438149199164,4.46572626671428,0.9917661504325164,0.005546077214863209,0.031976856187073875,0.0024015580675983954,-0.35890097241788643,-0.5046694681366924,0.1857248483413811,0.1128242174747617,0.0,0.0,-49.19596502720422,0.0
release_fullsumanchor,5.6,0.2,2.9911421263677638,6.393825961525855,1.4199661559335994,0.007940623845516187,0.04578302409191815,0.003438442798246174,-1.1102230246251565e-16,-0.14576849571880626,0.18572484834138103,0.1128242174747617,0.0,0.0,-49.19596502720422,0.0
tailm2_detlin,5.6,0.2,2.1064883228862223,4.502801658200116,1.0,0.0055921219053952625,0.03224233472086998,0.002421496303892867,-0.3506330374795608,-0.49640153319836694,0.18572484834138114,0.11282421747476155,0.0,0.0,-4.742350767567302,0.0
cell_direct_runtime,5.6,0.6,2.407735895414661,7.397198348412559,1.0,0.019174331739020833,0.1588752473554202,0.0072627882780181615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,5.6,0.6,0.276766918898432,0.9188228880109832,1.0,0.002204070939612448,0.019734257043397176,0.0072627882780181615,-1.5935521890484645,-2.0857632246689377,0.7258163460529434,0.4190479556733455,1.0,0.0,-1.0137383229947543,0.0
release_sumanchor,5.6,0.6,0.5839126985391716,1.2481640836365078,0.2771972159518638,0.004650068061758385,0.026807768047811955,0.0020132246907144653,-1.6336590926600805,-1.7794275883788866,0.18572484834138114,0.11282752958247322,0.0,0.0,-49.201250112610694,0.0
release_eftsumanchor,5.6,0.6,2.0891438149199164,4.46572626671428,0.9917661504325164,0.01663718044578109,0.09591379490291563,0.0072029875718964765,-0.35890097241788643,-0.5046694681366924,0.1857248483413811,0.11282752958247333,0.0,0.0,-49.201250112610694,0.0
release_fullsumanchor,5.6,0.6,2.9911421263677638,6.393825961525855,1.4199661559335994,0.023820366477386553,0.13732505650641677,0.010312913552497055,-1.1102230246251565e-16,-0.14576849571880626,0.18572484834138103,0.11282752958247325,0.0,0.0,-49.201250112610694,0.0
tailm2_detlin,5.6,0.6,2.1064883228862223,4.502801658200116,1.0,0.016775305790105353,0.09671009124589193,0.0072627882780181615,-0.3506330374795608,-0.49640153319836694,0.18572484834138114,0.11282752958247311,0.0,0.0,-4.726647271631137,0.0
cell_direct_runtime,5.6,1.0,2.407735895414661,7.397198348412559,1.0,0.031955200559397205,0.2647457821820312,0.01210181362529402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,5.6,1.0,0.276766918898432,0.9188228880109832,1.0,0.0036732194832700595,0.03288467778147697,0.01210181362529402,-1.5935521890484645,-2.0857632246689377,0.7258163460529434,0.4190269870525351,1.0,0.0,-1.013838207678127,0.0
release_sumanchor,5.6,1.0,0.5839126985391716,1.2481640836365078,0.2771972159518638,0.0077496237965852975,0.04467180154561887,0.0033545890448998337,-1.6336590926600805,-1.7794275883788866,0.18572484834138114,0.11283084202567248,0.0,0.0,-49.206534943923955,0.0
release_eftsumanchor,5.6,1.0,2.0891438149199164,4.46572626671428,0.9917661504325164,0.027726882225881697,0.15982837525856425,0.012002169112409623,-0.35890097241788643,-0.5046694681366924,0.1857248483413811,0.11283084202567256,0.0,0.0,-49.206534943923955,0.0
release_fullsumanchor,5.6,1.0,2.9911421263677638,6.393825961525855,1.4199661559335994,0.03969810257502618,0.2288350772266641,0.017184165773333603,-1.1102230246251565e-16,-0.14576849571880626,0.18572484834138103,0.1128308420256725,0.0,0.0,-49.206534943923955,0.0
tailm2_detlin,5.6,1.0,2.1064883228862223,4.502801658200116,1.0,0.027957076588860996,0.16115530378694812,0.01210181362529402,-0.3506330374795608,-0.49640153319836694,0.18572484834138114,0.11283084202567245,0.0,0.0,-4.710939729604732,0.0
cell_direct_runtime,5.6,2.0,2.407735895414661,7.397198348412559,1.0,0.06390030757874697,0.5292601750715842,0.024189467463941655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,5.6,2.0,0.276766918898432,0.9188228880109832,1.0,0.007345278723846963,0.06574061417088146,0.024189467463941655,-1.5935521890484645,-2.0857632246689377,0.7258163460529434,0.4189745782814831,1.0,0.0,-1.0140878864086744,0.0
release_sumanchor,5.6,2.0,0.5839126985391716,1.2481640836365078,0.2771972159518638,0.015496799755673911,0.08930455968715337,0.006705253036362818,-1.6336590926600805,-1.7794275883788866,0.18572484834138114,0.11283912460046297,0.0,0.0,-49.21974590906463,0.0
release_eftsumanchor,5.6,2.0,2.0891438149199164,4.46572626671428,0.9917661504325164,0.055445006490891985,0.31951705962436255,0.023990295027726018,-0.35890097241788643,-0.5046694681366924,0.1857248483413811,0.11283912460046294,0.0,0.0,-49.21974590906463,0.0
release_fullsumanchor,5.6,2.0,2.9911421263677638,6.393825961525855,1.4199661559335994,0.07938366589568582,0.4574701513175757,0.034348225128854104,-1.1102230246251565e-16,-0.14576849571880626,0.18572484834138103,0.11283912460046294,0.0,0.0,-49.21974590906463,0.0
tailm2_detlin,5.6,2.0,2.1064883228862223,4.502801658200116,1.0,0.0559053225064316,0.3221697569381844,0.024189467463941655,-0.3506330374795608,-0.49640153319836694,0.18572484834138114,0.11283912460046291,0.0,0.0,-4.67165318520604,0.0
cell_direct_runtime,5.6,4.0,2.407735895414661,7.397198348412559,1.0,0.1277602537491058,1.0575956017388577,0.04832236203282941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,5.6,4.0,0.276766918898432,0.9188228880109832,1.0,0.014685917942728593,0.1313663632320941,0.04832236203282941,-1.5935521890484645,-2.0857632246689377,0.7258163460529434,0.4188698155088827,1.0,0.0,-1.0145871023443789,0.0
release_sumanchor,5.6,4.0,0.5839126985391716,1.2481640836365078,0.2771972159518638,0.03098381125386757,0.17845308222479475,0.013394824223718358,-1.6336590926600805,-1.7794275883788866,0.18572484834138114,0.11285569602705087,0.0,0.0,-49.246163058758064,0.0
