alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.825,0.0,5.9,0.4,4.813559322033898,1.0,14.781560981284489,13.46975934358133,1.3118016377031587,0.09293340021502344,0.0
0.825,0.0,6.0,0.4,4.813559322033898,1.0,14.781560981284489,13.46975934358133,1.3118016377031587,0.09293340021502344,0.0
0.825,0.01,5.9,0.4,4.813559322033898,1.0,14.777502951548856,13.46975934358133,1.3077436079675255,0.09265882929015587,0.0
0.825,0.01,6.0,0.4,4.813559322033898,1.0,14.779382699009824,13.46975934358133,1.309623355428494,0.09278602452213854,0.0
0.825,0.02,5.9,0.4,4.813559322033898,1.0,14.773446035877262,13.46975934358133,1.3036866922959316,0.09238425836528925,0.0
0.825,0.02,6.0,0.4,4.813559322033898,1.0,14.777204737737364,13.46975934358133,1.3074453941560336,0.09263864882925346,0.0
0.85,0.0,5.9,0.4,4.813559322033898,1.0,14.691231052960951,13.46975934358133,1.221471709379621,0.08680366462337048,0.0
0.85,0.0,6.0,0.4,4.813559322033898,1.0,14.691231052960951,13.46975934358133,1.221471709379621,0.08680366462337048,0.0
0.85,0.01,5.9,0.4,4.813559322033898,1.0,14.687197821792655,13.46975934358133,1.2174384782113243,0.08652909369850374,0.0
0.85,0.01,6.0,0.4,4.813559322033898,1.0,14.689066082141144,13.46975934358133,1.2193067385598138,0.08665628893048556,0.0
0.85,0.02,5.9,0.4,4.813559322033898,1.0,14.68316569788034,13.46975934358133,1.2134063542990106,0.08625452277363631,0.0
0.85,0.02,6.0,0.4,4.813559322033898,1.0,14.686901430361901,13.46975934358133,1.2171420867805711,0.08650891323760053,0.0
0.8,0.0,5.9,0.4,4.813559322033898,2.0,14.941151035798578,13.531045134011483,1.4101059017870945,0.09913253575590322,0.0
0.8,0.0,6.0,0.4,4.813559322033898,2.0,14.941151035798578,13.531045134011483,1.4101059017870945,0.09913253575590322,0.0
0.8,0.01,5.9,0.4,4.813559322033898,2.0,14.937051068404848,13.531045134011483,1.4060059343933649,0.09885809036557056,0.0
0.8,0.01,6.0,0.4,4.813559322033898,2.0,14.938950242156679,13.531045134011483,1.4079051081451954,0.09898522744356475,0.0
0.8,0.02,5.9,0.4,4.813559322033898,2.0,14.93295222607389,13.531045134011483,1.401907092062407,0.09858364497523862,0.0
0.8,0.02,6.0,0.4,4.813559322033898,2.0,14.936749772686099,13.531045134011483,1.4057046386746155,0.0988379191312263,0.0
0.825,0.0,5.9,0.4,4.813559322033898,2.0,14.849887471922651,13.531045134011483,1.3188423379111676,0.0930056026951652,0.0
0.825,0.0,6.0,0.4,4.813559322033898,2.0,14.849887471922651,13.531045134011483,1.3188423379111676,0.0930056026951652,0.0
0.825,0.01,5.9,0.4,4.813559322033898,2.0,14.84581254795665,13.531045134011483,1.314767413945166,0.09273115730483247,0.0
0.825,0.01,6.0,0.4,4.813559322033898,2.0,14.847700121172176,13.531045134011483,1.3166549871606925,0.09285829438282676,0.0
0.825,0.02,5.9,0.4,4.813559322033898,2.0,14.84173874218131,13.531045134011483,1.3106936081698262,0.09245671191450067,0.0
0.825,0.02,6.0,0.4,4.813559322033898,2.0,14.845513092612917,13.531045134011483,1.3144679586014334,0.09271098607048817,0.0
0.85,0.0,5.9,0.4,4.813559322033898,2.0,14.759181364301023,13.531045134011483,1.2281362302895396,0.0868786696344269,0.0
0.85,0.0,6.0,0.4,4.813559322033898,2.0,14.759181364301023,13.531045134011483,1.2281362302895396,0.0868786696344269,0.0
0.85,0.01,5.9,0.4,4.813559322033898,2.0,14.755131330792441,13.531045134011483,1.2240861967809575,0.08660422424409431,0.0
0.85,0.01,6.0,0.4,4.813559322033898,2.0,14.757007374330081,13.531045134011483,1.225962240318598,0.08673136132208861,0.0
0.85,0.02,5.9,0.4,4.813559322033898,2.0,14.751082408644375,13.531045134011483,1.220037274632892,0.08632977885376157,0.0
0.85,0.02,6.0,0.4,4.813559322033898,2.0,14.754833704582344,13.531045134011483,1.2237885705708607,0.08658405300975025,0.0
0.8,0.0,5.9,0.4,4.813559322033898,4.0,15.07874491965476,13.653769155407037,1.4249757642477228,0.0992705188608202,0.0
0.8,0.0,6.0,0.4,4.813559322033898,4.0,15.07874491965476,13.653769155407037,1.4249757642477228,0.0992705188608202,0.0
0.8,0.01,5.9,0.4,4.813559322033898,4.0,15.07461096562518,13.653769155407037,1.4208418102181426,0.09899632357249426,0.0
0.8,0.01,6.0,0.4,4.813559322033898,4.0,15.07652588268604,13.653769155407037,1.422756727279003,0.09912334479050455,0.0
