D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_runtime,chi2_runtime,mu_cf,chi2_cf,abs_delta_base,abs_delta_runtime,abs_delta_cf,abs_improvement_vs_base,abs_improvement_vs_runtime,improved_vs_base,improved_vs_runtime,worsened_vs_runtime,acceptance_flip_vs_base,case,is_reviewer_target
4.8,1.055,13.794510976552164,960.1493896742004,13.680564737921053,942.5766892641872,13.68056473697016,942.5766891182184,13.68056473697016,942.5766891182184,0.11394623863111164,0.11394623958200434,0.11394623958200434,-9.50892697915151e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.15,13.80065406631957,961.1013829533003,13.686639000424542,943.5093620422084,13.68663899947323,943.5093618961032,13.68663899947323,943.5093618961032,0.1140150658950283,0.11401506684634022,0.11401506684634022,-9.513119181292495e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.245,13.806797685909023,962.0539301192345,13.692716130792013,944.4429367014632,13.692716129840276,944.4429365552204,13.692716129840276,944.4429365552204,0.11408155511701068,0.11408155606874715,0.11408155606874715,-9.517364674138662e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.34,13.81294183361318,963.0070310291504,13.69879613237442,945.3774144106744,13.69879613142226,945.3774142642944,13.69879613142226,945.3774142642944,0.11414570123876011,0.11414570219092113,0.11414570219092113,-9.521610166984829e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.435,13.819086507723236,963.9606855394584,13.704879008527753,946.312796340668,13.704879007575173,946.3127961941508,13.704879007575173,946.3127961941508,0.11420749919548356,0.1142075001480638,0.1142075001480638,-9.525802369125813e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.53,13.825231706529934,964.9148935059796,13.710964762614037,947.249083664528,13.710964761661034,947.2490835178731,13.710964761661034,947.2490835178731,0.1142669439158972,0.11426694486890021,0.11426694486890021,-9.530030098403586e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.625,13.831377428324098,965.8696547840366,13.717053398001374,948.1862775576074,13.717053397047945,948.1862774108145,13.717053397047945,948.1862774108145,0.11432403032272376,0.11432403127615309,0.11432403127615309,-9.534293354818146e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.72,13.837523671395694,966.8249692283013,13.723144918063324,949.1243791974368,13.723144917109472,949.124379050506,13.723144917109472,949.124379050506,0.11437875333236924,0.11437875428622135,0.11437875428622135,-9.538521084095919e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.815,13.84367043403428,967.780836692868,13.729239326178924,950.0633897637308,13.72923932522465,950.0633896166624,13.72923932522465,950.0633896166624,0.11443110785535637,0.11443110880962948,0.11443110880962948,-9.542731049805298e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,1.91,13.849817714528992,968.7372570312492,13.735336625733426,951.0033104385031,13.735336624778729,951.0033102912964,13.735336624778729,951.0033102912964,0.11448108879556607,0.11448108975026372,0.11448108975026372,-9.546976542651464e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.005,13.85596551116838,969.6942300963508,13.741434848143,951.94383819349,13.741434847187875,951.9438380461452,13.741434847187875,951.9438380461452,0.11453066302538062,0.1145306639805046,0.1145306639805046,-9.551239799066025e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.1,13.862113822240527,970.65175574049,13.747500440420996,952.8797945387292,13.747500439465451,952.8797943912468,13.747500439465451,952.8797943912468,0.11461338181953096,0.11461338277507593,0.11461338277507593,-9.555449764775403e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.1950000000000003,13.868262646033482,971.6098338154616,13.753568871915116,953.816649207188,13.753568870959151,953.8166490595684,13.753568870959151,953.8166490595684,0.11469377411836668,0.11469377507433087,0.11469377507433087,-9.559641966916388e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.29,13.87441198083421,972.5684641723752,13.759640145937151,954.7544033566334,13.759640144980764,954.7544032088756,13.759640144980764,954.7544032088756,0.11477183489705922,0.11477183585344619,0.11477183585344619,-9.56386969619416e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.385,13.880561824929671,973.5276466618244,13.765714265804576,955.6930581470172,13.765714264847766,955.6930579991218,13.765714264847766,955.6930579991218,0.1148475591250957,0.11484756008190544,0.11484756008190544,-9.568097425471933e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.4800000000000004,13.886712176606231,974.4873811337898,13.77179123484049,956.6326147404748,13.77179123388326,956.6326145924417,13.77179123388326,956.6326145924417,0.11492094176574064,0.11492094272297138,0.11492094272297138,-9.572307391181312e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.575,13.892863034150013,975.4476674376988,13.777871056373824,957.5730743013552,13.77787105541617,957.5730741531836,13.77787105541617,957.5730741531836,0.11499197777618875,0.11499197873384226,0.11499197873384226,-9.576535120459084e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.6700000000000004,13.899014395846113,976.408505422302,13.783953733738874,958.5144379961562,13.783953732780798,958.5144378478466,13.783953732780798,958.5144378478466,0.11506066210723809,0.11506066306531437,0.11506066306531437,-9.580762849736857e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
4.8,2.765,13.905166259979952,977.369894935881,13.790039270275932,959.4567069936232,13.79003926931743,959.456706845175,13.79003926931743,959.456706845175,0.11512698970402013,0.11512699066252097,0.11512699066252097,-9.585008342583023e-10,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,False
