beta_peak,center_D,sigma_D,D,eta,beta_eff,base_mu,cur_mu,delta_mu_current,base_width_ratio,cur_width_ratio,width_ratio_boost,mu_boost,delta_mu_boost,delta_log_width_current,delta_log_width_boost,acceptance_mismatch_boost
0.3,6.1,0.1,4.813559322033898,0.2,3.4736111850714586e-37,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.3,6.1,0.15,4.813559322033898,0.2,3.201950146247193e-17,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.3,6.1,0.2,4.813559322033898,0.2,3.111976022832048e-10,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085901473,14.724774818654783,1.3040058858300174,-0.14908326617158255,-0.1490832661251876,0.0
0.4,5.9,0.1,4.813559322033898,0.2,9.354330975529838e-27,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.4,5.9,0.15,4.813559322033898,0.2,1.6236164083211151e-12,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085491895,14.72477481933437,1.3040058865096036,-0.14908326617158255,-0.14908326617134016,0.0
0.4,5.9,0.2,4.813559322033898,0.2,1.564221232056401e-07,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.7445229244126,14.724774475957368,1.304005543132602,-0.14908326617158255,-0.1490832428516623,0.0
0.4,6.0,0.1,4.813559322033898,0.2,1.0852094765562697e-31,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.4,6.0,0.15,4.813559322033898,0.2,1.0397483788093866e-14,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489752,14.724774819337926,1.3040058865131599,-0.14908326617158255,-0.14908326617158166,0.0
0.4,6.0,0.2,4.813559322033898,0.2,9.129003800686624e-09,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452097567709,14.72477479929779,1.304005866473025,-0.14908326617158255,-0.1490832648106009,0.0
0.4,6.1,0.1,4.813559322033898,0.2,4.631481580095279e-37,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.4,6.1,0.15,4.813559322033898,0.2,4.2692668616629244e-17,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.4,6.1,0.2,4.813559322033898,0.2,4.1493013637760646e-10,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452086038715,14.724774818427067,1.304005885602301,-0.14908326617158255,-0.14908326610972264,0.0
0.5,5.9,0.1,4.813559322033898,0.2,1.1692913719412297e-26,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.5,5.9,0.15,4.813559322033898,0.2,2.029520510401394e-12,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.7445208549243,14.72477481933348,1.3040058865087136,-0.14908326617158255,-0.1490832661712797,0.0
