D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3
6.0,mid,0.08,0.04,18,4.739570606721464,0.6986535462850263,4.739570606721464,195.44405249766774,169.05042597578222,16.288150772618753
6.0,mid,0.08,0.04,19,5.021830631849676,0.6986535462850263,5.021830631849676,207.18245661467975,180.78883009279423,17.419155885348907
6.0,mid,0.08,0.04,20,5.1939240520925924,0.6986535462850263,5.1939240520925924,214.33934010100594,187.94571357912042,18.108727630669716
6.0,mid,0.08,0.04,21,5.708564460210635,0.6986535462850263,5.708564460210635,235.7417936814926,209.34816715960707,20.170872040012295
6.0,mid,0.08,0.04,22,5.778977766906225,0.6986535462850263,5.778977766906225,238.67008594970346,212.27645942781794,20.453015463760572
6.0,mid,0.08,0.04,23,6.284553663152426,0.6986535462850263,6.284553663152426,259.69557186207345,233.30194534018793,22.478838721119978
6.0,mid,0.08,0.04,24,6.596473541101902,0.6986535462850263,6.596473541101902,272.66744621033394,246.2738196884484,23.728689728405822
6.0,mid,0.08,0.04,25,6.920739638197145,0.6986535462850263,6.920739638197145,286.1527652434532,259.75913872156764,25.028011563062293
6.0,mid,0.08,0.04,26,7.474883211719556,0.6986535462850263,7.474883211719556,309.1980448642444,282.8044183423589,27.248443643572873
6.0,mid,0.08,0.04,27,7.618187686241699,0.6986535462850263,7.618187686241699,315.15767670709175,288.7640501852062,27.822659185741948
6.0,mid,0.08,0.04,28,7.946845084266181,0.6986535462850263,7.946845084266181,328.8256176502154,302.43199112832986,29.139576795075506
6.0,mid,0.08,0.04,29,8.031812723989297,0.6986535462850263,8.031812723989297,332.35918387690856,305.965557355023,29.48003887396821
6.0,mid,0.08,0.04,30,8.17395491623634,0.6986535462850263,8.17395491623634,338.2704796543249,311.87685313243935,30.049597195565667
6.0,mid,0.08,0.04,31,8.37452177543815,0.6986535462850263,8.37452177543815,346.61149374132236,320.2178672194368,30.853260920524367
6.0,mid,0.08,0.04,32,8.39362416414573,0.6986535462850263,8.39362416414573,347.40590860098223,321.0122820790967,30.929803460630133
6.0,mid,0.08,0.04,33,8.412668792420327,0.6986535462850263,8.412668792420327,348.19792136596357,321.804294844078,31.006114556892634
6.0,mid,0.08,0.04,34,8.665358343331082,0.6986535462850263,8.665358343331082,358.70657225759925,332.3129457357137,32.018631911710166
6.0,mid,0.08,0.04,35,8.996868988108144,0.6986535462850263,8.996868988108144,372.4931717440719,346.09954522218635,33.34698237152826
6.0,mid,0.08,0.04,36,9.19213585191158,0.6986535462850263,9.19213585191158,380.61377386243817,354.2201473405526,34.12940921786668
6.0,mid,0.08,0.04,37,9.392200517836622,0.6986535462850263,9.392200517836622,388.9339031371962,362.54027661531063,34.93106067359476
6.0,mid,0.08,0.04,38,9.411241657911667,0.6986535462850263,9.411241657911667,389.725770837725,363.33214431583946,35.00735779277521
6.0,mid,0.08,0.04,39,9.846612688488008,0.6986535462850263,9.846612688488008,407.8316329605094,381.43800643862386,36.751872841595066
6.0,mid,0.08,0.04,40,10.071291913094297,0.6986535462850263,10.071291913094297,417.17541281005606,390.7817862881705,37.65215389144806
12.0,coarse,0.12,0.06,1,0.673306142728165,0.673306142728165,0.673306142728165,34.58976060305491,1.0,0.11970325372728631
12.0,coarse,0.12,0.06,2,0.7342991181159493,0.673306142728165,0.7342991181159493,37.88338127399526,4.293620670940349,0.5139603645822939
12.0,coarse,0.12,0.06,3,0.8094911760505037,0.673306142728165,0.8094911760505037,41.9437524024612,8.353991799406288,1.0
12.0,coarse,0.12,0.06,4,0.9238418431464326,0.673306142728165,0.9238418431464326,48.11868842564135,14.52892782258644,1.739159933532494
12.0,coarse,0.12,0.06,5,1.082217395765038,0.673306142728165,1.082217395765038,56.67096826704606,23.081207663991144,2.7628956573349175
12.0,coarse,0.12,0.06,6,1.2718987697795567,0.673306142728165,1.2718987697795567,66.91376246383005,33.32400186077514,3.988991449948928
12.0,coarse,0.12,0.06,7,1.4908787915397363,0.673306142728165,1.4908787915397363,78.73868363887976,45.14892303582485,5.404472989671064
12.0,coarse,0.12,0.06,8,1.7452494696542042,0.673306142728165,1.7452494696542042,92.47470025706103,58.88493965400612,7.048718872119437
12.0,coarse,0.12,0.06,9,2.0361378208290697,0.673306142728165,2.0361378208290697,108.18267122050375,74.59291061744884,8.929014105897268
12.0,coarse,0.12,0.06,10,2.3603202294241714,0.673306142728165,2.3603202294241714,125.68852128463924,92.09876068158432,11.024521317836308
12.0,coarse,0.12,0.06,11,2.7173039033577306,0.673306142728165,2.7173039033577306,144.96563967705143,111.37587907399651,13.332055111894164
12.0,coarse,0.12,0.06,12,3.108679590557522,0.673306142728165,3.108679590557522,166.09992678584018,132.51016618278527,15.86189804402282
12.0,coarse,0.12,0.06,13,3.296492415166787,0.673306142728165,3.296492415166787,176.2418193147405,142.65205871168558,17.075915578684643
12.0,coarse,0.12,0.06,14,3.357081082026586,0.673306142728165,3.357081082026586,179.51360732516963,145.92384672211472,17.467559249038935
12.0,coarse,0.12,0.06,15,3.4325976986483453,0.673306142728165,3.4325976986483453,183.59150462274462,150.0017440196897,17.95569682392437
12.0,coarse,0.12,0.06,16,3.53445509021166,0.673306142728165,3.53445509021166,189.0918037671636,155.5020431641087,18.614100527984732
12.0,coarse,0.12,0.06,17,3.5470418912267156,0.673306142728165,3.5470418912267156,189.77149102197663,156.18173041892172,18.695461303902817
12.0,coarse,0.12,0.06,18,3.705394800098898,0.673306142728165,3.705394800098898,198.32254810107446,164.73278749801955,19.719050659078572
