D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
6.4,0.77,0.5249814217903723,0.372655496103476,0.8684121176097838,0.8425230631346802,0.731583096486451,0.34270848497945783,0.6250889351791542,0.967797420158612,0.6163756313893191,-0.17135424248972891,-0.3125444675895771,0.13485997999203345,0.0017274166898154412,0.0493701299210554
7.2,0.77,0.5085809080850586,0.3470601122559025,0.3844354713269957,0.8260804133300051,0.8498918037475652,0.38212631499972277,0.32529245461708833,0.707418769616811,0.7020789725255724,-0.19106315749986139,-0.16264622730854417,0.0881899562978012,0.0009584074818843363,0.0543924292141684
8.0,0.77,0.5340456101511604,0.3605063289677364,0.3511645662109931,0.821612942687908,0.8602919839697152,0.39297173492748133,0.30096686222665325,0.6939385971541345,0.7068270285201762,-0.19648586746374067,-0.15048343111332663,0.08445432297182985,0.0008908612621280641,0.0579949943599438
8.8,0.77,0.4659139786019265,0.3128373896945197,0.6407998229627958,0.8194198050254742,0.7806784654028776,0.3983174880117796,0.49518381987914584,0.8935013078909254,0.6397033959080123,-0.1991587440058898,-0.24759190993957292,0.12831275152446517,0.0016843679036496301,0.045708166471438
9.6,0.77,0.4654103914947826,0.311022914588276,0.7998543911680291,0.8174819185395887,0.7453861416667333,0.40305298889944363,0.5877057678345001,0.9907587567339438,0.6093396931425429,-0.20152649444972182,-0.29385288391725006,0.147417674311062,0.002017242263483473,0.0411393810730366
10.4,0.77,0.4844721655900466,0.3229405186741047,0.770060626001857,0.8164448500547248,0.7516331556517288,0.4055918263652605,0.5710137979776024,0.9766056243428629,0.6136670190622354,-0.20279591318263024,-0.2855068989888012,0.14505261642887185,0.0019808733485803492,0.044359261671947
11.2,0.77,0.5036498085520432,0.3353439250232999,0.726856192895699,0.8159825756556969,0.7609776712314688,0.40672455521826595,0.5463025258049385,0.9530270810232044,0.620944520187928,-0.20336227760913297,-0.27315126290246927,0.14065751726484169,0.0019070913712875392,0.0459252717523741
12.0,0.77,0.5221458496995938,0.3475022951774468,0.6621245241942938,0.8157985395547704,0.7756543300830179,0.4071756846007332,0.5080966179312002,0.9152723025319334,0.6327776696810599,-0.2035878423003666,-0.2540483089656001,0.13324068233076083,0.0017771168894829344,0.0457444400154601
12.8,0.77,0.4340747990224953,0.284087158384006,0.7104674599074758,0.8089906736653976,0.7646146093198319,0.4239357804316193,0.5367667015231896,0.9607024819548089,0.6185660878880556,-0.21196789021580964,-0.2683833507615948,0.14352259422222075,0.0019703926263473655,0.0392926624040364
13.6,0.77,0.4287147039070741,0.2799056182615367,0.6115654514856091,0.8080190842916976,0.7877275336842966,0.426339203134154,0.477206036704929,0.9035452398390831,0.6364988804389426,-0.213169601567077,-0.2386030183524645,0.1317213168960894,0.0017573061332374251,0.0396207396066896
14.4,0.77,0.4446080098107882,0.290811961808576,0.5817491632624519,0.8087559557188579,0.795117282520981,0.4245161381809065,0.458531300049902,0.8830474382308084,0.6430558377338372,-0.21225806909045325,-0.229265650024951,0.12722312156929427,0.0016732832881842497,0.0396855777556322
