p_part,p_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
-0.5,1.0,0.03288146045584125,0.11980197819140737,0.004202435566061702,0.002808389716984383,0.0004944854021498024,0.006353617658262114,0.03967400465450367,0.9958246776074186,0.0,0.0,0.011800072632316194,0.04434570959835188
1.5,0.75,0.032889455209599246,0.11980197819140737,0.0007247170519604218,0.00047032636016663965,0.00010482583190019046,0.0012792510207601032,0.007720974263645583,0.999023507418329,0.0,0.0,0.011869653187738693,0.01511979340824271
0.5,1.25,0.03288741400449952,0.11980197819140737,0.0006299688969106931,0.0004088367694683459,9.160668244501124e-05,0.001164483047034472,0.00675025663826509,0.9990254066625914,0.0,0.0,0.012793625946678489,0.013853463072787675
1.25,0.75,0.032888077587185295,0.11980197819140737,0.0008939519435084975,0.0006506169315017019,9.447430615638908e-05,0.0007328382011878838,0.007886786571345866,0.9994902719011491,0.0,0.0,0.013340234055321587,0.006294489796552394
0.75,1.25,0.03288869327462575,0.11980197819140737,0.001000892896764416,0.0007284484026053306,0.0001058293627846929,0.0007724816438892499,0.008830260636347953,0.9994757608484909,0.0,0.0,0.014380979320217091,0.006016070949957597
1.0,0.75,0.03288676845875015,0.11980197819140737,0.0015120519045068725,0.0011004232712266138,0.00015976862645061818,0.0015713660975019911,0.013339823236521525,0.9997010619665468,0.0,0.0,0.014798658287378696,0.0032197247712819066
-1.0,1.0,0.032879566018260274,0.11980197819140737,0.005268252742669954,0.0035206504886053924,0.00061791643253295,0.008055059396287555,0.04959205016480073,0.9927738919925254,0.0,0.0,0.015563329144437088,0.05671193533168109
1.0,1.25,0.03289003766345217,0.11980197819140737,0.001717755999747883,0.0012501440399237396,0.00018166013481812904,0.0016956121383934469,0.015154612967851394,0.9996886491600757,0.0,0.0,0.015981547213172076,0.0032813487057845037
0.75,0.75,0.03288552360039399,0.11980197819140737,0.0020976360765549984,0.0015265429599371494,0.00022570969247615036,0.0027235271915410425,0.018506040958242015,0.9996617639028563,0.0,0.0,0.016245033927091035,0.010677599129181259
1.25,1.25,0.03289145141171734,0.11980197819140737,0.002474878516282697,0.0018010790422406942,0.0002635531187172857,0.0030426866383037664,0.02183419883977375,0.9996567835516792,0.0,0.0,0.017595448150139248,0.011218293721075079
0.5,0.75,0.03288433908807863,0.11980197819140737,0.0026897368184140014,0.0019302949330675112,0.00030674949792974804,0.0038128886219631164,0.024967136499776,0.9993792246116339,0.0,0.0,0.017679642650060334,0.018350777436333843
1.5,1.25,0.03289293908586481,0.11980197819140737,0.0033363829464452266,0.002383034613856694,0.0003811387976191405,0.00446911824345023,0.030969546116612817,0.9993737844236373,0.0,0.0,0.019222888804349414,0.020137268130183572
-1.0,1.5,0.03288233086689955,0.11980197819140737,0.003605739080340342,0.002359829965972171,0.000432262822541829,0.0055668669806268,0.034491090840270244,0.9902099557372745,0.0,0.0,0.020132211988800996,0.052827772040119514
0.0,0.75,0.03288213676388729,0.11980197819140737,0.00397436231632442,0.002675740265773552,0.0004530909888299517,0.0058191969735374915,0.03689150766421302,0.9981160963117304,0.0,0.0,0.020513936897225915,0.03295783069788322
2.0,1.25,0.03289615628131086,0.11980197819140737,0.0056249040016371765,0.0037589922103251627,0.0006471962615308691,0.0075829774618316765,0.05221244883349305,0.998033882534003,0.0,0.0,0.02251940217494297,0.03955700702947329
2.0,0.5,0.032890742182506066,0.11980197819140737,0.0015568374541192753,0.0010103552706346441,0.00022477145350718875,0.0026912743402153386,0.016551195048069373,0.9961077322927787,0.0,0.0,0.02287971704267472,0.031622197576022026
-0.5,0.75,0.03288013523680701,0.11980197819140737,0.005097466045103083,0.0034065177204325447,0.0005846693128013225,0.007619476909541516,0.04731657375538448,0.9959822870857823,0.0,0.0,0.023301703040108812,0.04634791366204705
-0.5,1.5,0.03288438139828998,0.11980197819140737,0.0024022041885203294,0.001572158523439171,0.00030760404743401804,0.0038595400727174933,0.023444264049216804,0.9935388618905834,0.0,0.0,0.02332964263744164,0.04026200911473049
1.5,0.5,0.032887871170404905,0.11980197819140737,0.001692106410699168,0.0012315125982977904,0.00017878660851666783,0.0014315947086506271,0.014928411100944117,0.9979932451463588,0.0,0.0,0.02571639879518628,0.012879516052693496
0.0,1.5,0.032886631706976414,0.11980197819140737,0.0011760621598622123,0.0008480318476582482,0.00017168027748870607,0.0022316904914923418,0.012648942012208814,0.9961221538955938,0.0,0.0,0.02658035416547222,0.026547369395284903
