D,eta,C_tree_mumu,coeff_1,coeff_2,coeff_3,g_mu1_sq,g_mu2_sq,g_mu3_sq,mu_contrib_1,mu_contrib_2,mu_contrib_3,mu_share_1,mu_share_2,mu_share_3,y2_raw,p2_kin,m2_2,coeff2_kin_over_m2,C_tree_mumu_single_layer_pred,abs_single_layer_residual
14.4,0.5800000000000001,2.793325203394674e-07,0.18127742710051703,0.22395221558552633,0.03937125882997316,1.116819705807796e-33,1.2472862552806118e-06,1.116819705807796e-33,2.0245420280399364e-34,2.793325203394674e-07,4.3970597703773214e-35,7.247784918059486e-28,1.0,1.5741309909185154e-28,1.2472862552806118e-06,0.4052893412081706,1.8097134701192203,0.22395221558552633,2.793325203394674e-07,0.0
15.2,0.5800000000000001,1.46776561877834e-07,0.1902117925742682,0.23061449029620057,0.039329002549797126,7.977835172222724e-34,6.364585403515399e-07,7.977835172222724e-34,1.51747832897053e-34,1.4677656187783418e-07,3.1376029983020873e-35,1.0338696516365927e-27,1.0000000000000013,2.1376730440883315e-28,6.364585403515399e-07,0.401897233551603,1.7427232479425183,0.23061449029620057,1.4677656187783415e-07,1.5881867761018131e-22
16.0,0.5800000000000001,5.6155628670608733e-08,0.19883724908083197,0.23817280984273112,0.03903900663425619,4.855685574782181e-34,2.3577682401147757e-07,4.855685574782181e-34,9.654911620911673e-35,5.615562867060873e-08,1.8956114136778364e-35,1.7193132459694023e-27,0.9999999999999999,3.3756391986935045e-28,2.357768240114776e-07,0.40042225923939356,1.6812257432063638,0.23817280984273112,5.6155628670608733e-08,0.0
16.8,0.5800000000000001,2.4653082118783823e-08,0.21160064185053518,0.24109260437852698,0.03846056038668436,3.1977438102683376e-34,1.0225565476109463e-07,3.1977438102683376e-34,6.766446427263562e-35,2.4653082118783826e-08,1.2298701891597154e-35,2.7446655126776343e-27,1.0000000000000002,4.9887076319055675e-28,1.0225565476109464e-07,0.39164881451796885,1.6244746101919467,0.24109260437852698,2.465308211878383e-08,6.617444900424222e-24
17.6,0.5800000000000001,7.139226485334223e-09,0.18962990788759787,0.21279271638670572,0.038614174076225596,1.8316698659802081e-34,3.355014497939953e-08,1.8316698659802081e-34,3.473393879663156e-35,7.139226485334223e-09,7.072841905513656e-36,4.865224386421114e-27,1.0,9.907014324371222e-28,3.355014497939953e-08,0.3906548896492392,1.835847092338004,0.21279271638670572,7.139226485334224e-09,8.271806125530277e-25
18.4,0.5800000000000001,1.996930012438708e-09,0.1794980359023228,0.19969300124387082,0.03873274194856101,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,1.7949803590232283e-35,1.9969300124387082e-09,3.873274194856101e-36,8.988699392780157e-27,1.0000000000000002,1.9396143934588615e-27,1e-08,0.3898967385291033,1.9524807384358465,0.19969300124387082,1.9969300124387082e-09,4.1359030627651384e-25
19.200000000000003,0.5800000000000001,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.8861115867515161,0.0,0.0,0.0
20.0,0.5800000000000001,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.823074165025783,0.0,0.0,0.0
4.0,0.77,0.0014877342575363,0.051450333905283606,0.35839837754409765,0.12660974775960654,6.442874387242344e-32,0.0041510630369783405,6.442874387242344e-32,3.314880385334181e-33,0.0014877342575363118,8.157307010155827e-33,2.228140118802971e-30,1.000000000000008,5.483040380924208e-30,0.0041510630369783405,0.5884777098984806,1.6419653290034042,0.35839837754409765,0.0014877342575363118,1.1926223897340549e-17
4.8,0.77,0.0015685832784841,0.07716990459060517,0.3769632855830964,0.09557783284116855,6.450661658690802e-32,0.004161103583490356,6.450661658690802e-32,4.9779694474744406e-33,0.0015685832784841209,6.165402617292846e-33,3.1735448896823745e-30,1.0000000000000133,3.930554852816723e-30,0.004161103583490356,0.585025481312716,1.551942864695122,0.3769632855830964,0.0015685832784841209,2.0816681711721685e-17
