D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,s24_interval_L_bound,dH_over_s24_L,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,mid,62.1875,1.0,0.064,0.064,4.7127032271956644e-05,0.0002640627626675,0.17846905711312885,0.00302444493885406,0.0030097207181120187,126.51574888799604,0.3845490198796663,1.279474015886042e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,mid,62.1875,2.0,-0.064,0.064,4.34668758181755e-05,0.0002640627626675,0.16460812338355976,0.0026390725579817772,0.0026254932850769187,132.7617243743821,0.35217987279987145,1.366033221577573e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,mid,62.1875,3.0,0.064,-0.064,5.009190772550038e-05,0.0002640627626675,0.18969697665616955,0.0032007578064266132,0.003185106347353179,123.61588062981068,0.3976126039990134,3.662332418605801e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,mid,62.1875,4.0,-0.064,-0.064,4.643381698055247e-05,0.0002640627626675,0.17584386572150107,0.0028391924302258818,0.002824687387491848,129.11904356143214,0.368458708929206,6.957963573052197e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,right,62.5,0.0,0.0,0.0,3.916960396907943e-05,0.0002640627626675,0.14833444736166998,0.00016834462756442264,0.00017985921329787417,2496.5846801244425,0.4636264006787253,0.02588286692926115
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,right,62.5,1.0,0.064,0.064,4.673397017601241e-05,0.0002640627626675,0.17698053941387581,0.0030097207181120187,0.002995118759709143,125.89113795704651,0.3807770705956593,1.2843898046070525e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,right,62.5,2.0,-0.064,0.064,4.297887391524958e-05,0.0002640627626675,0.16276007067822473,0.0026254932850769187,0.0026120661989183463,132.0817830214699,0.3485650158601729,1.3508056389369768e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,right,62.5,3.0,0.064,-0.064,4.9666424544994403e-05,0.0002640627626675,0.1880856810073327,0.003185106347353179,0.003169587592290557,123.01358753683876,0.3937297260276629,3.662332418605801e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,3.0,right,62.5,4.0,-0.064,-0.064,4.593515230822014e-05,0.0002640627626675,0.17395543333787022,0.002824687387491848,0.002810337677424836,128.4686576557851,0.3647209338329878,8.294397390070446e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,left,62.5,0.0,0.0,0.0,3.916960396907943e-05,0.0002640627626675,0.14833444736166998,0.00016834462756442264,0.00017985921329787417,2496.5846801244425,0.4636264006787253,0.02588286692926115
