D,R_tail,parity,R0,R1,center_mode,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_direct_dH_dR_abs_max,direct_guard_factor,direct_L_bound,s24_interval_L_bound,direct_L_over_s24_L,five_percent_reserve,direct_remainder_bound,direct_remainder_over_reserve,beta_direct,beta_s24_interval,direct_contribution,s24_interval_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,special_interval_pass
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,21.0,73.125,73.75,0.625,0.0027726003987447,4.372059825900542e-05,2.0,8.744119651801084e-05,0.0003204050593795,0.27290828892449587,0.00013863001993723502,2.732537391187839e-05,0.19711007705437827,0.0027999257726565785,0.002872726979800794,0.0017499536079103616,0.001795454362375496,104.68936685558943,0.36106542087696264,0.022206088100221455,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,22.0,73.75,74.375,0.625,0.0027455872644209,4.58877924097405e-05,2.0,9.1775584819481e-05,0.0003204050593795,0.2864361286841557,0.000137279363221045,2.8679870256087815e-05,0.20891610787783121,0.002774267134676988,0.0028457138454769937,0.0017339169591731175,0.001778571153423121,103.85626730353448,0.3090418765535373,0.020027804192506868,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,23.0,74.375,75.0,0.625,0.002719039494984,5.980741217969838e-05,2.0,0.00011961482435939675,0.0003204050593795,0.3733237689537242,0.0001359519747492,3.737963261231149e-05,0.2749473310797308,0.0027564191275963115,0.0028191660760400936,0.0017227619547476947,0.0017619787975250586,103.0362811656655,0.2842049113217115,0.018056950930203968,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,24.0,75.0,75.625,0.625,0.0026929457944736,8.075109898080851e-05,2.0,0.00016150219796161702,0.0003204050593795,0.5040563288057435,0.00013464728972368002,5.046943686300532e-05,0.3748269791881998,0.0027434152313366056,0.002793072375529694,0.0017146345195853784,0.0017456702347060588,102.22914655718253,0.27924126543862376,0.01793387201738616,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,25.0,75.625,76.25,0.625,0.0026672963635092,9.447445297146312e-05,2.0,0.00018894890594292623,0.0003204050593795,0.5897188587123025,0.00013336481817546002,5.904653310716445e-05,0.44274445026034154,0.0027263428966163646,0.002767422944565294,0.0017039643103852278,0.0017296393403533087,101.43449330222276,0.2744014938877034,0.01976193462627555,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,26.0,76.25,76.875,0.625,0.0026420800938599,9.447445297146312e-05,2.0,0.00018894890594292623,0.0003204050593795,0.5897188587123025,0.000132104004692995,5.904653310716445e-05,0.44697004639932364,0.0027011266269670645,0.002742206674915994,0.0016882041418544154,0.001713879171822496,100.65204288430834,0.26968160008584985,0.021178704510954095,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,27.0,76.875,77.5,0.625,0.0026172894419992,8.467539751107673e-05,2.0,0.00016935079502215347,0.0003204050593795,0.5285521875032813,0.00013086447209996,5.292212344442296e-05,0.4044040570766887,0.002670211565443623,0.0027174160230552936,0.0016688822284022643,0.0016983850144095586,99.88152554546096,0.2650777747986304,0.022275386123728095,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,28.0,77.5,78.125,0.625,0.0025929121695848,6.438675808135891e-05,2.0,0.00012877351616271781,0.0003204050593795,0.4019084979872104,0.00012964560847924,4.024172380084932e-05,0.31039789371109455,0.0026331538933856494,0.0026930387506408937,0.0016457211833660309,0.0016831492191505585,99.12259662347724,0.26058636894841436,0.023389590504414897,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,29.0,78.125,78.75,0.625,0.0025689411346189,4.812763066716327e-05,2.0,9.625526133432654e-05,0.0003204050593795,0.3004174201266845,0.000128447056730945,3.0079769166977043e-05,0.2341802913396795,0.0025990209037858774,0.002669067715674994,0.0016243880648661732,0.0016681673222968712,98.37502598802136,0.25620381288790706,0.024350006254565695,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,30.0,78.75,79.375,0.625,0.0025453671395352,3.7579189275942474e-05,2.0,7.515837855188495e-05,0.0003204050593795,0.23457300798382366,0.00012726835697676002,2.3486993297464047e-05,0.1845469986051043,0.002568854132832664,0.0026454937205912937,0.001605533833020415,0.0016534335753695586,97.63853227560485,0.25192673970298984,0.02478819382993453,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,31.0,79.375,80.0,0.625,0.0025221797121147,3.6904291989223034e-05,2.0,7.380858397844607e-05,0.0003204050593795,0.23036023251750326,0.000126108985605735,2.3065182493264397e-05,0.18289880282896726,0.0025452448946079644,0.0026223062931707937,0.0015907780591299778,0.0016389414332317461,96.9128409885041,0.2477518727405037,0.02478819382993453,1.0
