i,j,k,obs_triangle_defect_abs,recon_triangle_defect_abs,mixed_triangle_defect_abs,channel
0,10,12,0.0,2.220446049250313e-16,1.1102230246251565e-16,mix
0,10,13,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,10,14,0.0,4.440892098500626e-16,5.551115123125783e-16,mix
0,10,15,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,10,16,0.0,0.0,3.3306690738754696e-16,mix
0,11,12,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,mix
0,11,13,0.0,0.0,2.7755575615628914e-17,mix
0,11,14,0.0,4.440892098500626e-16,4.440892098500626e-16,mix
0,11,15,2.220446049250313e-16,2.220446049250313e-16,2.7755575615628914e-17,mix
0,11,16,0.0,0.0,0.0,mix
0,12,13,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,12,14,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,mix
0,12,15,0.0,2.220446049250313e-16,4.440892098500626e-16,mix
0,12,16,0.0,4.440892098500626e-16,4.440892098500626e-16,mix
0,13,14,0.0,4.440892098500626e-16,2.220446049250313e-16,mix
0,13,15,2.220446049250313e-16,2.220446049250313e-16,3.0531133177191805e-16,mix
0,13,16,0.0,0.0,0.0,mix
0,14,15,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,14,16,0.0,0.0,0.0,mix
0,15,16,0.0,0.0,2.220446049250313e-16,mix
1,2,3,1.3877787807814457e-16,1.1657341758564144e-15,1.0269562977782698e-15,mix
1,2,4,0.0,4.440892098500626e-16,4.440892098500626e-16,mix
1,2,5,4.440892098500626e-16,8.881784197001252e-16,1.1102230246251565e-15,mix
1,2,6,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
1,2,7,0.0,0.0,4.440892098500626e-16,mix
1,2,8,2.220446049250313e-16,8.881784197001252e-16,6.661338147750939e-16,mix
1,2,9,4.440892098500626e-16,8.881784197001252e-16,6.661338147750939e-16,mix
1,2,10,0.0,6.661338147750939e-16,6.661338147750939e-16,mix
1,2,11,0.0,4.440892098500626e-16,4.440892098500626e-16,mix
1,2,12,2.220446049250313e-16,8.881784197001252e-16,6.661338147750939e-16,mix
1,2,13,2.220446049250313e-16,6.661338147750939e-16,4.440892098500626e-16,mix
1,2,14,0.0,8.881784197001252e-16,4.3021142204224816e-16,mix
1,2,15,2.220446049250313e-16,2.220446049250313e-16,0.0,mix
1,2,16,0.0,8.881784197001252e-16,5.551115123125783e-16,mix
1,3,4,2.220446049250313e-16,0.0,8.326672684688674e-17,mix
1,3,5,0.0,0.0,3.0531133177191805e-16,mix
1,3,6,0.0,4.440892098500626e-16,3.608224830031759e-16,mix
1,3,7,8.881784197001252e-16,8.881784197001252e-16,1.3877787807814457e-16,mix
1,3,8,0.0,2.220446049250313e-16,1.3877787807814457e-16,mix
1,3,9,0.0,0.0,3.0531133177191805e-16,mix
1,3,10,2.220446049250313e-16,0.0,3.0531133177191805e-16,mix
1,3,11,0.0,4.440892098500626e-16,1.3877787807814457e-16,mix
1,3,12,2.220446049250313e-16,0.0,8.326672684688674e-17,mix
1,3,13,0.0,2.220446049250313e-16,8.326672684688674e-17,mix
1,3,14,0.0,8.881784197001252e-16,5.828670879282072e-16,mix
1,3,15,0.0,0.0,1.3877787807814457e-16,mix
1,3,16,4.440892098500626e-16,4.440892098500626e-16,5.828670879282072e-16,mix
1,4,5,4.440892098500626e-16,0.0,4.440892098500626e-16,mix
1,4,6,0.0,0.0,5.551115123125783e-17,mix
1,4,7,0.0,8.881784197001252e-16,4.440892098500626e-16,mix
