family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.08,6.711864406779661,4.0,24.02287273152609,21.41998627553064,21.41998627553064,-2.602886455995449,-0.11468198269511254,1.0823284917990452e-23
pointamp2,0.25,5.9,0.12,5.898305084745763,0.2,90.79702562735869,60.251653720638146,60.20804839589848,-30.588977231460213,-0.4108204900002492,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,0.39,90.79862216474444,60.25448559082204,60.21087821660136,-30.587743948143086,-0.4107910738323129,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,0.5800000000000001,90.80021867571749,60.257317741395916,60.213708317491324,-30.586510358226164,-0.4107616546199645,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,0.77,90.80181516046262,60.26014963122751,60.21653815782773,-30.585277002634896,-0.41073224134564956,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,0.96,90.80341161896216,60.26298173779924,60.21936821474738,-30.584043404214782,-0.41070282608507025,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,1.15,90.80500805110192,60.26581328900283,60.22219771670082,-30.582810334401103,-0.41067342164900705,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,1.34,90.8066044569945,60.268644897635,60.22502727604128,-30.581577180953225,-0.4106440178694657,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,1.53,90.80820083658355,60.27147678658714,60.22785711549885,-30.580343721084702,-0.4106146110476548,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,1.72,90.80979718986694,60.27430895591068,60.23068723512491,-30.57910995474203,-0.41058520118317204,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,1.91,90.81139351683984,60.27714140564782,60.23351763496163,-30.577875881878214,-0.4105557882757388,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,2.1,90.81298981754493,60.27997294177464,60.23634712184911,-30.576642695695824,-0.4105263921342713,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,2.29,90.81458609192988,60.28280368338697,60.239175814797356,-30.575410277132526,-0.4104970107802514,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,2.4800000000000004,90.81618234001765,60.28563470510325,60.24200478764666,-30.57417755237099,-0.41046762638645357,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,2.6700000000000004,90.81777856178608,60.288466006961094,60.24483404043483,-30.572944521351253,-0.41043823895247983,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,2.8600000000000003,90.8193747572609,60.291297589012885,60.247663573214176,-30.571711184046727,-0.41040884847821857,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,3.0500000000000003,90.82097092640565,60.29412945129645,60.25049338602246,-30.570477540383187,-0.4103794549631157,0.2499750642842958
