ref_D,refamp2_peak,center_D,sigma_D,D,eta,target_mu,mu_new,delta_mu,acceptance_mismatch
9.694915254237287,0.0,5.9,0.15,6.169491525423729,2.6700000000000004,72.86366105391085,72.09926691843275,-0.7643941354780992,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,2.8600000000000003,72.86416422471666,72.10178977111475,-0.7623744536019075,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,3.0500000000000003,72.86466739112022,72.10431281166733,-0.7603545794528941,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,3.24,72.86517055314152,72.10683604012569,-0.7583345130158392,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,3.43,72.8656737107654,72.10935945649784,-0.7563142542675649,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,3.62,72.86617686401031,72.11188306081768,-0.7542938031926383,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,3.81,72.86668001284127,72.11440685309975,-0.7522731597415202,0.0
9.694915254237287,0.0,5.9,0.15,6.169491525423729,4.0,72.86718315729819,72.11693083336483,-0.7502523239333527,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,0.2,45.73786443452171,58.121276937101605,12.383412502579894,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,0.39,45.737983507291375,58.12143315039051,12.383449643099134,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,0.5800000000000001,45.73810257960763,58.121589364558325,12.383486784950698,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,0.77,45.73822165138581,58.1217455764471,12.38352392506129,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,0.96,45.73834072259768,58.121901788668005,12.383561066070328,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,1.15,45.73845979316265,58.122057996842834,12.383598203680187,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,1.34,45.73857886303054,58.12221420443112,12.383635341400577,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,1.53,45.73869793242382,58.122370412752076,12.383672480328258,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,1.72,45.73881700115645,58.12252662179833,12.38370962064188,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,1.91,45.73893606924289,58.122682831552225,12.383746762309336,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,2.1,45.73905513674126,58.1228390351841,12.383783898442843,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,2.29,45.73917420367656,58.122995233471165,12.383821029794603,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,2.4800000000000004,45.739293269983506,58.123151432434526,12.38385816245102,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,2.6700000000000004,45.73941233567354,58.12330763212621,12.383895296452671,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,2.8600000000000003,45.73953140077024,58.12346383255956,12.383932431789319,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,3.0500000000000003,45.73965046526172,58.12362003370544,12.383969568443725,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,3.24,45.739769529157535,58.123776235591045,12.38400670643351,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,3.43,45.739888592403986,58.12393243818266,12.384043845778677,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,3.62,45.74000765506223,58.124088641509616,12.384080986447387,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,3.81,45.74012671713229,58.12424484555507,12.384118128422777,0.0
9.694915254237287,0.0,5.9,0.15,6.4406779661016955,4.0,45.74024577860031,58.12440105035036,12.384155271750046,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,0.2,21.2976797472918,21.419281039655687,0.12160129236388784,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,0.39,21.297700117949084,21.41931630433541,0.12161618638632632,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,0.5800000000000001,21.297720488349047,21.419351569161954,0.1216310808129073,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,0.77,21.297740858418138,21.419386833152384,0.12164597473424621,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,0.96,21.29776122863928,21.419422097201007,0.12166086856172598,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,1.15,21.297781598744447,21.419457360064094,0.12167576131964708,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,1.34,21.29780196873038,21.419492622670344,0.12169065393996448,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,1.53,21.297822338734797,21.41952788542647,0.12170554669167188,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,1.72,21.297842708698894,21.419563148331342,0.12172043963244761,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,1.91,21.29786307852958,21.41959841134778,0.1217353328182007,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,2.1,21.29788344831199,21.419633672593505,0.1217502242815165,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,2.29,21.29790381807337,21.419668932300887,0.12176511422751801,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,2.4800000000000004,21.297924187687222,21.419704192103506,0.12178000441628356,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,2.6700000000000004,21.29794455730186,21.41973945205817,0.12179489475630945,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,2.8600000000000003,21.297964926847666,21.419774712151366,0.12180978530370012,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,3.0500000000000003,21.29798529635069,21.41980997237992,0.12182467602923097,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,3.24,21.298005665775957,21.419845232740684,0.1218395669647272,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,3.43,21.298026035121268,21.419880493234228,0.12185445811295992,0.0
9.694915254237287,0.0,5.9,0.15,6.711864406779661,3.62,21.29804640439307,21.419915753857577,0.12186934946450734,0.0
