center_D,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
5.8,0.15,5.3559322033898304,0.2,23.28032852942435,37.44422247444693,-14.163893945022583,-0.4752436901641051,0.0
5.8,0.2,5.3559322033898304,0.2,23.43591541930943,37.44422247444693,-14.0083070551375,-0.46858273234751996,0.0
6.0,0.1,5.3559322033898304,0.2,23.253616019191377,37.44422247444693,-14.190606455255555,-0.47639177736910104,0.0
6.0,0.15,5.3559322033898304,0.2,23.253827926663266,37.44422247444693,-14.190394547783665,-0.4763826645280626,0.0
6.0,0.2,5.3559322033898304,0.2,23.26557713828643,37.44422247444693,-14.1786453361605,-0.4758775328800295,0.0
6.2,0.1,5.3559322033898304,0.2,23.253616017093243,37.44422247444693,-14.190606457353688,-0.4763917774593292,0.0
6.2,0.15,5.3559322033898304,0.2,23.25361630137741,37.44422247444693,-14.190606173069522,-0.4763917652339549,0.0
6.2,0.2,5.3559322033898304,0.2,23.253905711582043,37.44422247444693,-14.190316762864889,-0.47637931949648654,0.0
5.8,0.1,5.3559322033898304,0.39,23.26540781551321,37.448878331532185,-14.183470516018975,-0.47600914413471723,0.0
5.8,0.15,5.3559322033898304,0.39,23.29202212036507,37.448878331532185,-14.156856211167117,-0.4748658547483615,0.0
5.8,0.2,5.3559322033898304,0.39,23.44768716075579,37.448878331532185,-14.001191170776394,-0.4682048969317763,0.0
6.0,0.1,5.3559322033898304,0.39,23.265296192573697,37.448878331532185,-14.183582138958489,-0.47601394195335733,0.0
6.0,0.15,5.3559322033898304,0.39,23.26550820648563,37.448878331532185,-14.183370125046554,-0.47600482911231906,0.0
6.0,0.2,5.3559322033898304,0.39,23.2772633196782,37.448878331532185,-14.171615011853984,-0.4754996974642858,0.0
6.2,0.1,5.3559322033898304,0.39,23.265296190474512,37.448878331532185,-14.183582141057673,-0.4760139420435854,0.0
6.2,0.15,5.3559322033898304,0.39,23.26529647490146,37.448878331532185,-14.183581856630724,-0.4760139298182114,0.0
6.2,0.2,5.3559322033898304,0.39,23.265586030475372,37.448878331532185,-14.183292301056813,-0.4760014840807431,0.0
5.8,0.1,5.3559322033898304,0.5800000000000001,23.277100291474373,37.453534112244824,-14.176433820770452,-0.4756310171501623,0.0
5.8,0.15,5.3559322033898304,0.5800000000000001,23.30372797185449,37.453534112244824,-14.149806140390336,-0.4744877277638066,0.0
5.8,0.2,5.3559322033898304,0.5800000000000001,23.459471244690448,37.453534112244824,-13.994062867554376,-0.4678267699472214,0.0
6.0,0.1,5.3559322033898304,0.5800000000000001,23.276988612436615,37.453534112244824,-14.17654549980821,-0.4756358149688023,0.0
6.0,0.15,5.3559322033898304,0.5800000000000001,23.277200732900198,37.453534112244824,-14.176333379344626,-0.4756267021277641,0.0
6.0,0.2,5.3559322033898304,0.5800000000000001,23.28896175384988,37.453534112244824,-14.164572358394945,-0.47512157047973086,0.0
6.2,0.1,5.3559322033898304,0.5800000000000001,23.27698861033637,37.453534112244824,-14.176545501908453,-0.4756358150590307,0.0
6.2,0.15,5.3559322033898304,0.5800000000000001,23.27698889490627,37.453534112244824,-14.176545217338553,-0.4756358028336563,0.0
6.2,0.2,5.3559322033898304,0.5800000000000001,23.277278596001878,37.453534112244824,-14.176255516242946,-0.47562335709618814,0.0
5.8,0.1,5.3559322033898304,0.77,23.288782703161335,37.45818981642014,-14.169407113258803,-0.47525355714295375,0.0
5.8,0.15,5.3559322033898304,0.77,23.31542374755675,37.45818981642014,-14.142766068863388,-0.4741102677565981,0.0
5.8,0.2,5.3559322033898304,0.77,23.471245185499527,37.45818981642014,-13.986944630920611,-0.46744930994001316,0.0
6.0,0.1,5.3559322033898304,0.77,23.288670968073617,37.45818981642014,-14.16951884834652,-0.4752583549615939,0.0
6.0,0.15,5.3559322033898304,0.77,23.288883194997133,37.45818981642014,-14.169306621423004,-0.4752492421205557,0.0
6.0,0.2,5.3559322033898304,0.77,23.300650118618837,37.45818981642014,-14.157539697801301,-0.4747441104725224,0.0
6.2,0.1,5.3559322033898304,0.77,23.288670965972315,37.45818981642014,-14.169518850447822,-0.4752583550518224,0.0
6.2,0.15,5.3559322033898304,0.77,23.288671250685038,37.45818981642014,-14.1695185657351,-0.47525834282644797,0.0
6.2,0.2,5.3559322033898304,0.77,23.288961097177083,37.45818981642014,-14.169228719243055,-0.47524589708897974,0.0
5.8,0.1,5.3559322033898304,0.96,23.30047472349895,37.46284544387349,-14.16237072037454,-0.47487591889475583,0.0
5.8,0.15,5.3559322033898304,0.96,23.32712914290142,37.46284544387349,-14.13571630097207,-0.4737326295084001,0.0
5.8,0.2,5.3559322033898304,0.96,23.483028810240924,37.46284544387349,-13.979816633632566,-0.46707167169181524,0.0
6.0,0.1,5.3559322033898304,0.96,23.30036293231517,37.46284544387349,-14.16248251155832,-0.4748807167133961,0.0
6.0,0.15,5.3559322033898304,0.96,23.30057526578619,37.46284544387349,-14.1622701780873,-0.4748716038723577,0.0
6.0,0.2,5.3559322033898304,0.96,23.31234809693479,37.46284544387349,-14.1504973469387,-0.47436647222432443,0.0
6.2,0.1,5.3559322033898304,0.96,23.300362930212824,37.46284544387349,-14.162482513660667,-0.47488071680362426,0.0
