D,eta,mu_mumu_center,mu_mumu_min,mu_mumu_max,mu_mumu_half_width,mu_mumu_full_span,case_at_min,case_at_max
4.8,0.29500000000000004,11.504444500808093,11.504363005830973,11.504526122167738,8.155816838240071e-05,0.00016311633676480142,gamma_diag_plus,gamma_diag_minus
5.6,0.29500000000000004,52.954187064558994,52.952693630734316,52.95568358746012,0.001494978362902799,0.002989956725805598,gamma_diag_plus,gamma_diag_minus
6.4,0.29500000000000004,57.797582746152955,57.79369735204062,57.801477665910156,0.003890156934769351,0.007780313869538702,gamma_diag_plus,gamma_diag_minus
7.2,0.29500000000000004,3.4844538566739134,3.484111726707554,3.4847968783865344,0.0003425758394901557,0.0006851516789803114,gamma_diag_plus,gamma_diag_minus
8.0,0.29500000000000004,2.3187707042102073,2.318326531644354,2.3192160432404516,0.0004447557980487016,0.0008895115960974032,gamma_diag_plus,gamma_diag_minus
8.8,0.29500000000000004,1.5837709985442883,1.583769723730039,1.583772269855381,1.2730626710588666e-06,2.5461253421177332e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.29500000000000004,0.9999999999387104,0.9999999999387104,0.9999999999387108,2.220446049250313e-16,4.440892098500626e-16,center_nonzero,kappa_diag_minus
10.4,0.29500000000000004,0.4939376842811309,0.49388824671178166,0.49398726042500996,4.9506856614145445e-05,9.901371322829089e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.29500000000000004,0.15086343853261414,0.15083342244573972,0.15089354030787336,3.0058931066820338e-05,6.0117862133640676e-05,gamma_diag_plus,gamma_diag_minus
12.0,0.29500000000000004,0.03759247087147954,0.037581591116716315,0.037603382183537246,1.0895533410465452e-05,2.1791066820930904e-05,gamma_diag_plus,gamma_diag_minus
12.8,0.29500000000000004,0.002337901940097404,0.0023376195443808837,0.0023381835767337655,2.8201617644093256e-07,5.640323528818651e-07,gamma_diag_minus,gamma_diag_plus
13.600000000000001,0.29500000000000004,0.00017666328674912314,0.00017663816758878986,0.00017668833865743444,2.50855343222878e-08,5.01710686445756e-08,gamma_diag_minus,gamma_diag_plus
14.4,0.29500000000000004,4.365533450070093e-05,4.365306074592951e-05,4.365760206589651e-05,2.2706599835013253e-09,4.5413199670026505e-09,gamma_diag_minus,gamma_diag_plus
15.200000000000001,0.29500000000000004,1.2039538997167438e-05,1.2039145334262174e-05,1.2039933751348463e-05,3.9420854314482627e-10,7.884170862896525e-10,gamma_diag_plus,gamma_diag_minus
16.0,0.29500000000000004,1.7217188398156832e-06,1.721523086241571e-06,1.7219151439978855e-06,1.9602887815717908e-10,3.9205775631435816e-10,gamma_diag_plus,gamma_diag_minus
16.8,0.29500000000000004,3.383992857714392e-07,3.383344816034369e-07,3.3846427475036623e-07,6.489657346466572e-11,1.2979314692933144e-10,gamma_diag_plus,gamma_diag_minus
17.6,0.29500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
18.4,0.29500000000000004,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
