beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.0,0.8,4.0,1.0,1.819384350023561,2.564024495423726,-0.744640145400165,-0.34307991796524234,1.0
0.25,0.2,4.0,1.0,1.8193843500235636,2.564024495423726,-0.7446401454001623,-0.34307991796524095,1.0
0.25,0.3,4.0,1.0,1.8193844144960554,2.564024495423726,-0.7446400809276705,-0.34307988252880844,1.0
0.25,0.4,4.0,1.0,1.8194168329457037,2.564024495423726,-0.7446076624780222,-0.34306206432581,1.0
0.25,0.6,4.0,1.0,1.8221524328357774,2.564024495423726,-0.7418720625879485,-0.34155963490321617,1.0
0.25,0.8,4.0,1.0,1.8325360860935982,2.564024495423726,-0.7314884093301277,-0.33587724575059125,1.0
0.5,0.2,4.0,1.0,1.8193843500235705,2.564024495423726,-0.7446401454001554,-0.3430799179652372,1.0
0.5,0.3,4.0,1.0,1.8193844789685498,2.564024495423726,-0.7446400164551761,-0.3430798470923758,1.0
0.5,0.4,4.0,1.0,1.8194493164477867,2.564024495423726,-0.7445751789759392,-0.3430442106863792,1.0
0.5,0.6,4.0,1.0,1.8249247271178939,2.564024495423726,-0.739099768305832,-0.34003935184119866,1.0
0.5,0.8,4.0,1.0,1.845782891774215,2.564024495423726,-0.718241603649511,-0.3286745735359415,1.0
0.75,0.2,4.0,1.0,1.8193843500235705,2.564024495423726,-0.7446401454001554,-0.3430799179652372,1.0
0.75,0.3,4.0,1.0,1.8193845434410458,2.564024495423726,-0.7446399519826801,-0.34307981165594353,1.0
0.75,0.4,4.0,1.0,1.8194818005298175,2.564024495423726,-0.7445426948939085,-0.34302635704695195,1.0
0.75,0.6,4.0,1.0,1.8277012392774288,2.564024495423726,-0.7363232561462971,-0.33851906877917726,1.0
0.75,0.8,4.0,1.0,1.8591254542926277,2.564024495423726,-0.7048990411310982,-0.3214719013212885,1.0
1.0,0.2,4.0,1.0,1.8193843500235705,2.564024495423726,-0.7446401454001554,-0.3430799179652372,1.0
1.0,0.3,4.0,1.0,1.8193846079135383,2.564024495423726,-0.7446398875101876,-0.34307977621951435,1.0
1.0,0.4,4.0,1.0,1.8195142851918193,2.564024495423726,-0.7445102102319066,-0.3430085034075208,1.0
1.0,0.6,4.0,1.0,1.8304819757316189,2.564024495423726,-0.733542519692107,-0.3369987857171563,1.0
1.0,0.8,4.0,1.0,1.8725644658437735,2.564024495423726,-0.6914600295799525,-0.3142692291066386,1.0
0.0,0.2,4.0,2.0,1.9618535746920385,2.7647636140617435,-0.8029100393697051,-0.34306541139562957,1.0
0.0,0.3,4.0,2.0,1.9618535746920385,2.7647636140617435,-0.8029100393697051,-0.34306541139562957,1.0
0.0,0.4,4.0,2.0,1.9618535746920385,2.7647636140617435,-0.8029100393697051,-0.34306541139562957,1.0
0.0,0.6,4.0,2.0,1.9618535746920385,2.7647636140617435,-0.8029100393697051,-0.34306541139562957,1.0
0.0,0.8,4.0,2.0,1.9618535746920385,2.7647636140617435,-0.8029100393697051,-0.34306541139562957,1.0
0.25,0.2,4.0,2.0,1.9618535746920411,2.7647636140617435,-0.8029100393697024,-0.34306541139562835,1.0
0.25,0.3,4.0,2.0,1.9618536442131342,2.7647636140617435,-0.8029099698486093,-0.3430653759591956,1.0
0.25,0.4,4.0,2.0,1.961888601231055,2.7647636140617435,-0.8028750128306885,-0.34304755775619716,1.0
0.25,0.6,4.0,2.0,1.9648384157785959,2.7647636140617435,-0.7999251982831477,-0.3415451283336036,1.0
